content,sentiment
"Haii BPJS, mau daftar awal tiap mau verifikasi wajah selalu gagal... Bagaiman caranya agar bisa berhasil, semua cara yg ada di ulasan sudah di coba dan tidak berhasil sama sekali, pencahayaan udh OK, pulsa ada, tdk pk kacamata.. gimana mau booking buat kontrol tapi caranya di persulit terutama buat lansia... Ditunggu informasinya. Tks",Negatif
Membantu dan mudah d gunakan Mantappp,Positif
"Terbaik , tongkat kan",Positif
Fast respon klu ke kantor nya lgsg,Positif
TIDAK BISA DAFTAR KEPESERTAAN BPJS ONLINE,Netral
Susah banget buat Nerima kode otpnya dari Sms,Negatif
Cukup membantu,Positif
"Tombol masuk tidak bisa, mohon di perbaiki lagi sistem nya",Negatif
Mantap,Positif
Bagus,Positif
Pelayanan cepat,Positif
Buruk Baru daftar susah sekali kode otp nya lewat SMS,Negatif
"Setelah di update, aplikasi Stuck di splash screen lalu force close",Netral
"Masih banyak masalah mendaftar yang sulit seperti verifikasi wajah yang selalu gagal (mungkin karena perbedaan wajah saat perekaman dan yang aktual saat ini berbeda karena faktor usia), verifikasi sms yang tak bisa mendapat kode otp. mohon perbaiki.",Negatif
Bagus,Positif
"Susah dan di ribetin di perekam wajah, seharusnya jika ingin banyak yg donlod di permudah pas daftarnya secara mandiri",Negatif
tingkatkan terus. apk nya bagus.,Positif
"Tolonb min, saya padahal udah pake aplikasi udh daftar juga. Setiap bulan masa tiba2 harus login ulang teruss. Huhhh Mohon diperbaiki lagii",Negatif
Bagus,Positif
Aplikasi taik . Udah 10 nomor handphone gue masukin tetap aja ga bisa masuk . Verifikasi wajah juga rumit selalu Gagal . Bukan nya ngebantu malah merepotin . Apa harus pake duit nyogok biar bisa daftar beginian 🤦🤦🤦hadeuhh Indonesia,Negatif
"Mantap, yang penting tau alur mudah memakainya",Positif
mantap cepat,Positif
aplikasi yang banyak bug nya dan server yang tidak memadai bagi aplikasi layanan publik,Negatif
Sangat baik,Positif
Sangat membantu,Positif
Alhamdulilah Membantu bangeut,Positif
Goodjob,Positif
"Aplikasi yg sangat baik, sangat membantu sekali utk berobat",Positif
"Sumpah, ngeselin bgt aplikasinya. Verifikasi wajah tidak teruuus. Kesal bgt, bikin naik darah aja",Negatif
"aplikasi tidak bisa di unduh, tertunda terus",Negatif
tolong di hilangkan peringatan perangkat anda susah melebihi 3 akun soalnya susah masuk,Netral
aplikasi gajelas buat verifikasi wajah gabisa mau verifikasi nomer telepon kode nya ga dikirim kirim. lawak,Negatif
Proses cepat & mudah,Positif
"Verifikasi wajah gagal terus, setelah itu kode verifikasi sms sama sekali tidak dikirim Emang ya punya pemerintahan semuanya serba lambat",Negatif
Tolong lah untuk bug saya cuman mau daftar terus verivikasi aja di persulit dari ngak bisa scan wajah sama otp no hp,Negatif
Sangat mudah untuk digunakan memilih klinik pindah faskes dan berobat Sri aplikasi.tidak harus pergi ke kantor BPJS yg harus antri.sangat flexibel waktu,Positif
Good,Positif
Dibuat stress dengan applikasi ini. Sudah coba daftar berulang kali gonta ganti no hp tetap saja tidak bisa nerima verifikasi. Sangat menyusahkan.!!!!!!,Negatif
Jelek,Negatif
"Ternyata pas liat disini banyak yg bermasalah Dari kemarin daftar gabisa verifikasi wajah sulit, mau ganti alamat faskes pun blm bisa2 karena kode otp gagal Tolong di perbaikin sistemnya Banyak orang yang butuh ini",Negatif
"Aplikasi ga jelas verifikasi wajah selalu gagal, otp ga pernah masuk kocak",Negatif
APK SAMPAAHH!!! REGISTRASI AJA SUSAHNYA KEK LAGI REGIS LAMAR KERJA KE GOOGLE. TOLONGLAAH PERBAIKI LAGI SISTEMNYA MASA APK PEMERINTAH SEBOBROK INI. KALO GA MENYANGGUPI PERMINTAAN PENGGUNA GAUSAH BIKIN AJA INI APP,Negatif
"ngebug mulu nih aplikasi. terlalu mempersulit untuk berobat. bukannya sembuh, malah makin sakit kalo pake nih aplikasi😌",Negatif
Oke terimakasih 🎉🎊,Positif
Memudahkan bagi yang berjarak jauh,Positif
Cukup membantu,Positif
hanya proses verifikasi wajah yg sulit,Negatif
Pelayanan bagus,Positif
Bagus,Positif
ferivikasi wajah gagal terus.. JKN mandang fisik layak nya. Tau ny wajah awak jelek makanya gagal mulu,Negatif
Kode otp nya susah ke kirim coba pake nomor lain juga ga bisa,Negatif
aplikasi nya bener bener ga guna,Negatif
Permisi mau tanya mengenai KIS... Apa kah benar jika KIS yg kita punya lama tidak di gunakan karna Alhamdulillah jarang sakit jadi lama ga di pake dan kita mau pake itu KIS buat berobat ke Puskesmas itu KIS yg kita punya udh ga aktif/ kita harus bayar kalo priksa di puskesmas.. mohon penjelasannya...,Negatif
Puas,Positif
"Kenapa ya baru2 ini buka aplikasi JKN harus login lagi masukin nik,pasword lagi capcha lagi ,,padahal udah ada pin,,apa sistem lagi eror ya,",Negatif
Sangat membantu,Positif
"Masa cuman ganti hp,trs login ulang pake hp yg baru, selalu gagal. Katanya NIK anda salah....padahal sdh cocok. Sampe 3x di coba gagal lagi. Nunggu lagi wkt yg di tentukan. PARAH jkn klo bgini sistem nya",Negatif
mudah dan cepat,Positif
"Verifikasi susah, verifikasi wajah gak bisa begitupun kirim otpnya gak masuk-masuk",Negatif
"Aplikasi ribet, mau update ganti nomor handphone lewat wa pandawa dikasih link isi form baru upload foto selfie+ktp verifikasi foto kirim gagal terus balik lagi ke wa, klik link lagi hal sama lagi yang terjadi. Tolong perbaiki dulu ahh",Negatif
"Coba klau bikin aplikasi untuk publik dibuat mudah, mau daftar aja susahnya bukan main",Negatif
Saya sangat tertolong oleh BPJS sewaktu masuk UGD Budhi Asih dan kateterisasi disana oleh Dr .Rahmat spesialist jantung.dan pelayanannya sangat cepat sekali,Positif
"Lupa kata sandi, sudah memasukan no hp yang benar, masih saja tertulis no hp tidak sesuai yang didaftarkan, tolong aplikasi dipermudah cara komplainnya, kalai harus ke lokasi bpjs jauh",Negatif
"Aplikasi gak jelas, kode otp gak ke kirim dari 2 hari. Makan anggaran",Negatif
"Tadi saya ada daftar untuk login ke aplikasi jkn mobile mau buat kartu bpjs, saat mau verifikasi akun saya untuk mengirim kode otp kenapa yang muncul bukan nomor saya melainkan nomor hp lain, padahal dari awal pakai nomor saya sendiri, jadi tidak bisa untuk membuka klik gambar kartu karena harus serba verifikasi akun, saya uninstall kembali 🙏",Netral
ferifikasi pakai wajah slalu gagal,Negatif
"Pendaftaran gagal terhubung ke server apalah alasannya, bikin aplikasi jangan menyusahkan masyarakat, bukannya makin gampang ini malah bikin susah harus datang ke cs",Negatif
Daftar nya hadehh...,Negatif
aplikasi ny mempersulit,Negatif
Aplikasi ampas ..nomor verifikasi dan nomor terdaftar berbeda gimana ceritanya. Mau verif jadi ga bisa,Negatif
ok,Positif
Udah sering ku hapus dan ku download yg baru tp tetap g bisa untuk mendaftar sangat menyulitkan,Negatif
Mantap membantu,Positif
Saya kesulitan untuk mendapatkan kode otp dari sms..... Berkali kali selalu tidak ada pesan masuk sama sekali,Negatif
Cukup lancar lodingnya,Positif
sidah mudah di gunakan,Positif
biometrik nya susah banget,Negatif
Good,Positif
Memudahkan bagi konsumen,Positif
Bagus dan cepat dalam memberikan feedback,Positif
"Gagal terus mau verifikasi doang, lewat sms gak bisa karna nomer kosong, padahal diawal daftar juga udh masukin nomer, aplikasi aneh",Negatif
"Tolong dong diperbaiki lgi aplikasi nya,,masa verifikasi wajah sama no telepon GK bisa bisa..tolong admin JKN.kita di suruh daftar online lewat JKN,klo mau kontrol ke rs.tpi GK bisa bisa login..mana bentar lagi mau kontrol ke RS..kn pihak RS GK mau tahu tentang kegagalan login di aplikasi JKN.. untuk saat ini itu dulu keluhannya.terimakasih",Negatif
Tolong di perbaiki lebih detail verifikasi wajahnya.,Netral
Good,Positif
Woyyy aplikasi pemerintah gini amat mau daftar nggak bisa bisa kebanyakan ngebug,Negatif
Mantap,Positif
Sangat membantu dan bermanfaat,Positif
Cukup memudahkan setiap urusan dengan BPJS,Positif
verifikasi lama,Negatif
"Gagal login trs, dgn tulusan perangkat lebih dr 3 nik, pdhl ini mw masuk kesalah 1 nik itu, mw bwt kontrol",Netral
Ok,Positif
Sangat membantu,Positif
Sangat membantu,Positif
"Tolong dong kalo verifikasi wajah tuh dipermudah, bolak balik verifikasi wajah susah banget Gimana sih aplikasi ini, minus banget",Negatif
Sangat baik,Positif
Aplikasi ga jelas kode otp nya ga masuk masuk saya sudah coba 4 nomor pun tetap ga masuk emang ga jelas,Negatif
Terimakasih,Positif
"betul² repot sistemnya ,suka gangguan dan sulit untuk daftar nomor",Negatif
"Saya sangat merasasangat terbantu dengan adanya mobile jkn,dan saya sangat merasa puas,terimakasih jkn...",Positif
"Sangat membantu,",Positif
Sangat membantu,Positif
"Aplikasinya tidak terlalu bagus, untuk mendaftarkan sulit. Saran nya untuk BPJS, dapat mengeluarkan website .",Negatif
Bagus alhamdulilah,Positif
Sangat membantu,Positif
Aplikasinya tidak bagus menyusahkan tiba2 aja aplksinya keluar sendiri. Msk lgi tidak mau. Padahan semua nya sdh benar,Negatif
tolong untuk memperbaiki bug verifikasi.,Negatif
Bagus,Positif
Tadi pagi mau buka ap jkn harus login isi ini itu sampai berhasil dan bisa dibuka.sorenya mau buka ap jkn lagi minta login lagi. ko gitu ya padahal sebelum nya lancar lancar saja..,Negatif
tolong di perbaiki untuk aplikasi nya. pas mau verifikasi pakai nomor hp. dan minta kode OTP. tidak kunjung masuk kode OTP nya sms kode OTP pun tidak ada.,Negatif
"Busettttt,,verifikasi wajah gagal mulu",Negatif
"Sangat sangat menjengkelkan, perubahan data sangat sangat dipersulit. Pemilihan lokasi faskes sangat sangat sangat cacat.",Negatif
Cukup membantu,Positif
Bagus,Positif
"Yang buat aplikasi nya siapa? buang-buang anggaran doang, mau daftar aja sulit nya minta ampun dari verifikasi wajah ngga bisa-bisa, kode otp yg rumit. Intinya tolong kalau mau buat aplikasi yang berguna sedikit. masih berguna aplikasi pou ketimbang ini",Negatif
"WHAT A POOR APPS !!! Gabisa verif wajah , gabisa verif nomor telpon (ngga ada SMS masuk samsek, udah coba puluhan kali) Pandawa message ga ngebantu. Call center ga ngebantu.",Negatif
semoga sehat bahagia selalu,Positif
"Saya sudah muak, pengobatan beda kota di tolak.",Negatif
Susah banget buat verifikasi aplikasi bikin repot gak bisa masuk,Negatif
Verifikasi nyaa ga masuk masukk anjayy hebatt,Negatif
Semoga makin baik fasilitas dan pelayanannya. Terus berkembang dan bermanfaat bagi masyarakat,Positif
Good,Positif
Aplikasinya nyebelin banget gak sengaja ke log out giliran mau login lagi lupa sandi giliran mau ganti sandi lewat verifikasi sms malah gak bisa bisa terus.,Negatif
Sangat mudah dan membantu,Positif
"Minusx di verifikasi wajah saat mau ngerubah Faskes gagal terus,,selain itu it's okay",Negatif
"Aplikasi Kesehatan terburuk. Tolong aplikasi diperbaiki lebih bagus, selalu saja bermasalah aplikasinya.",Negatif
"Capcha cukup sulit, verifikasi wajah gagal terus",Negatif
Ingin membuat akun cemana masuknya,Netral
"Apk sampah kode verifikasi ngk di kirim""........terus verifikasi muka nya ngk bisa"" apk pemerintah bukan nya membatu ini malah mempersulit tolong perbaikan nya di tunggu",Negatif
Aplikasi tolol verifikasi wajah susah amat tolong di perbaiki lagi,Negatif
Sebenar nya aplikasi sudah bagus dan sangat membantu cuman satu verifikasi nya susah sekali usahakan bisa lewat email lah no hape sudah ga aktip lama ini di persulit verifikasi wajah juga sulit tolong lah di permudah...,Negatif
Bermanfaat,Positif
Susah banget mau verifikasi wajah.tolong dong di permudah,Negatif
Ribet banget kasian orng yang ngga tau maenan hp,Negatif
Sangat mebantu,Positif
Mantab,Positif
"Ga ngerti deh... Tiap masuk aplikasi harus login terus... Trus hbis update malah alamatnya masih tertera alamat lama, ga jelas bngt... Pdhal udha di update smuanya data2nya",Negatif
"Serba susah Pake OTP susah, pake face rekognisi susah Kurang niat",Negatif
Perbaiki lagi buat verefekasi nya masak yang di daftarin nomor a kode nya nomor b kan aneh mana nomor nya beda lagi sama yang di pake daftar,Negatif
nggak bisa install,Negatif
Bagus,Positif
Verif no hp otp ga masuk masuk udah diganti sama beberapa nomor tetep aja gaada yang masuk. Gajelas banget,Negatif
Tolong face recognation nya di perbaiki! It's not working!!!!! I will give you 5 star if fixed,Negatif
Terima kasih karena mudah dalam akses penggunakan aplikasi JKN.,Positif
Sangat membantu,Positif
Mantap,Positif
Verifikasi wajah tidak bisaaa,Negatif
Mobile JKÑ nya sangat membantu,Positif
Buruk aplikasi sering keluar sendri.. tolong lebih diperbbaiki,Negatif
sekarang tambah lemot,Negatif
Gk bisa login karena no HP yg di masukan salah ❌ padahal no HP waktu daftar udah bener gk punya no HP lain gmn caranya bs login kembali,Negatif
"Aplikasi tak mendukung, bagaimana BPJS tidak bangkrut, aplikasinya tidak layak pakai. Verivikasi sms tidak bisa. Verivikasi email tidak bisa. Verivikasi wajah juga tidak bisa. Aplikasi Pemerintah, serasa aplikasi penipu, pulsa uda kepotong tpi Kode OTP gk masuk2. Cari keuntungan sama masyarakat.",Negatif
Pelayanan bagus respon CPT baik,Positif
Susah bgt verifikasi wajah,Negatif
"Susah banget buat verifikasi wajah,udah berkali kali tetep gagal",Negatif
Sangat membantu,Positif
Sangat membantu sekali buat pasien👍,Positif
mudah dan cepat,Positif
Sosialisasi ga jelas dateng ke kampus cuma buang buang waktu tidur siang,Negatif
Terbantu sekali kalo lewat antrian online,Positif
Makasih,Positif
"Dipersulit saat verivikasi Sudah berulang kali tapi gagal Verifikasi lewat sms malah yg muncul nomor lain,,bukan nomor hp yg didaftarkan Verifikasi lewat wajah juga gagal terus padahal tempat udah terang tp tetap gagal",Negatif
"saya senang dg adanya Digital gini, tapi kenapa aplikasi tidak mendukung. saat digunakan java.lang.Nul melulu,. pas mau dipakai malah eror. di update malah eror..jadinya berobat pakai umum, karena tidak bisa menunjukkan kartu yg fisik.. maaf kami kecewa.",Negatif
"Kalau memang password gak bisa dispasi, kenapa saat daftar diperbolehkan pakai spasi? Untuk teman-teman, kalau buat password jangan ada spasinya, ya.",Negatif
Pelayanan bpjs sangat baik,Positif
susah masuk aplikasi ini... baru tau verifikasi aja nunggu sampe 300 detik. .. jadi males log in... kok bisa nomer saya dibilang slah.. ini say yg punya nomer kok lucu sekali bug nya ini... tolong lah perbaiki biar tambah bagus....,Negatif
Mantaps,Positif
"Mudah cepat memudahkan ,puas sekali,g harus ngantri",Positif
"Gimana ini mau masuk kok gbisa dibuka,udah masukkan nik & verivikasi gagal terus",Negatif
Bagus dan bermanfaat bagi kami,Positif
Good😍,Positif
Dftr gagal terus .,Negatif
"Sudah terdaftar,masuk lagi susah",Negatif
aplikasi bagus👍,Netral
Alhamdulillah sangat piermudag,Positif
Terbaik,Positif
Mantap,Positif
Hp ku IOS 7 udah ga bisa download aplikasi ini. Sedih😭😭😭😭😭😭😭😭,Negatif
aplikasi koclok,Negatif
Mau verifikasi saja gagal truss aplikasinya bukan di permudah malah verifikasi dipersulit,Negatif
Bagus. Tingkatkan lagi. Masih banyak perbaikan,Positif
Sangat mudah,Positif
benerin sistemnya baru loncing,Negatif
"Sangat mudah di akses , keren..",Positif
Cuma verifikasi no hp aja di sulit padahal no hp aktif pulsa juga banyak jadi tapi gabisa registrasi. SULIT!!! TOLONG DIPERBAIKI LAGI APK NYA !!!,Negatif
Keren,Positif
Mantap layanannya lwngkap,Positif
"Daftar aja susah. nomor hp udah bener, semua data udah bener, kode OTP ga masuk2, tiba2 apk keluar sendiri.",Negatif
Eror aplikasinya dibuka gabisa,Negatif
"Ruwettr pelayanane , percuma bayar setiap bulan , faskes Nayaka , taman sepanjang Sidoarjo",Negatif
Aplikasi jelek 🤣 masa iya masukin capta salah terus .. permainan yang punya aplikasi ini mah,Negatif
apk buruk,Negatif
"Perlu banyak pembaharuan, pakai aplikasi malah menyusahkan masyarakat",Negatif
Lebih mudah urusan kesehatan dgn aplijasi jkn mobile,Positif
Oke mantab lebih cepat prosesnya,Positif
suka,Positif
Verivikasi wajah nya susah banget beberapa kali di ulang tetap tidak bisa,Negatif
"Parah aplikasi apaan jelek banget,ngabisin waktu aja ngisiin polmulir nya..parahh",Negatif
"Dari kemarin mau verifikasi wajah ga bisa Mulu. Udah dicoba coba beberapa kali ga bisa, pegel sendiri tangan hampir 5 menit verifikasi ga bisa msh tetep aja",Negatif
Keren cepat responsip,Positif
Applikasi penyusah rakyat,Netral
Mudah ganti faskes,Positif
Aplikasi ini sangat membantu,Positif
"Aplikasi kaga jesal, verifikasi wajah susahnya setengah mati,udah suruh senyum,sama kedip gagal terus,emang harus senyum dan kedip sperti apa?? Tolong dibenarkan untuk pendaftaran verifikasi wajah,karna sangatlah susah.",Negatif
"Kepada Menteri Kesehatan Dan Tim Developer Mobile JKN, Tolong Diperbaiki Lagi Aplikasi Mobile JKN Ini , Mulai Dari UI/UX, Front-end Dan Back-end ada Beberapa Fitur Yang Masih Kurang Matang Dan Ada Juga Yg Tidak Berfungsi, Contoh Yang Krusial Adalah Fitur OTP Untuk Mereset Password Tidak Memberikan OTP Lewat SMS , Tolong Diperbaiki Lagi API dan Segala Macamnya. Terimakasih",Positif
Kok susah masuk nya ya dan susah didownload,Negatif
Kenapa tetap GK bisa verivikasi wajah nya Udah bolak balik uninstall dan install ttp GK bisa verivikasi wajah. Plies solusi nya min,Negatif
Good,Positif
Oke,Positif
membantu,Positif
Oke,Positif
Smoga slalu di berikan kesehatan,Positif
"Akun sudah terdaftar tetapi belum terverifikasi, jadi pencet apa ya? saya bingung",Negatif
Mantap,Positif
Memudahkan utk adm pengurusannya,Positif
Sangat memuaskan,Positif
"Tolong dong hapus aturan ""Gak Bisa login krn sudah 3 NIK yg pernah login di HP"".. Aturan nya menyulitkan, jadi susah",Negatif
"Saya harus menyesuaikan nama anak di KK dan kartu bpjs setelah pengubahan nama di akta kelahiran. Lebih lanjut saya hubungi 165, dengan pilihan konsultasi langsung. Costumer servicenya ramah & informatif. Tutup telpon jam 08.21, jam 08.23 dichat WA untuk cek update nama di aplikasi & alhamdulillah nama sudah terupdated.",Positif
Oke,Positif
"Cacat logika! Saat saya daftar akun baru tentu dimintai password, disana saya mengisi password dengan spasi contoh:(""test 1 2 3"") diperbolehkan dan gaada validasi apapun Setelah login, masa diberikan validasi g boleh pake spasi dibagian password, jadi saya cuma bisa ngetik (""test123"") spasi gk diterima Buat siapapun penanggung jawabnya, mangkanya klo nyari developer jangan yang anak magang, atau jangan vendor kenalan yang harganya murah biar bisa korupsi",Negatif
Mudah digunakan,Positif
Aplikasi ini sangat membantu untuk perubahan perubahan data lwt online,Positif
"Untuk mengubah alamat ternyata tdk perlu datang ke Kantor BPJS ,kerenn ..",Negatif
Bagus,Positif
Bagus,Positif
"Kendala saat penambahan peserta, SMS buat OTP nggak masuk masuk",Netral
"Sangat"" membantu rakyat seperti saya 😁",Positif
Mantap,Positif
Sangat membantu,Positif
"Tolong di tingkatkan lagi aplikasinya terutama dalam hal mengirim kode verifikasi ke nomor handphone (jaringan telepon tidak ada masalah,sehat jasmani rohani)",Netral
Kemudahan informasi,Positif
Aplikasi yang sangat membantu sekali..,Positif
Bagus,Positif
Semoga selalu menuju lebih baik,Positif
"apa yang diharapkan dari aplikasi buatan pemerintah? banyak bngt bug kocak, mulai dari OTP yg ga kekirim, verifikasi wajah gagal terus padahal udh hijau dan mengikuti semua instruksi nya hadehh..",Negatif
bagus,Positif
Mau daftar aja sulitnya minta ampun,Negatif
bagus,Positif
Semoga makin sukses,Positif
Verifikasi wajah aja gagal terus udh minta autodebet.,Negatif
Agak susah dan bertele tele,Negatif
Ada niat ga buat aplikasi ini..? Saya udah beberapa kali gagal terus dan sudah beberapa kali saya hapus dan download lagi tetap tidak mau,Negatif
Penjelasan terinci. Terimakasih,Positif
"Aplikasi ga jelas, pengguna cuma mau login loading dan gagal mulu",Negatif
"Aplikasi paling gak jelas, ada inovasi aplikasi tapi gak guna, gak berjalan. Masa verifikasi wajah susah e poll.",Negatif
Mau pindah faskes terkendala di vermuk gagal terus Lebih mudah pake pin bukanya makin mudah malah makin susah payah lah apliaksinya di bikin susah.,Negatif
Sangat membantu kami dalama akses penanganan pelayanan kesehatan,Positif
"Dengan adanya aplikasi harusnya pendaftaran dan segala sesuatunya jadi mudah. Ini gimana mau mudah, proses verifikasi wajah tidak terdeteksi, pake nomor telpon pun kodenya gak masuk2. Bikin susah",Negatif
"Terimakasih atas inovasinya,. Sangat membantu sekali",Positif
"Tolong yaa di perbaiki saya masukkan data² seperti NIK, nama lengkap tanggal lahir, lalu tinggal sken muka tapi tidak bisa, saya sudah bkng berhari hari lebih dari 100× tolong di perbaiki jgn di persulitkan, saya punya masa rujukan udah mau habis karena biking mobil jkn Bru bisa di priksa, tolong di perbaiki, bukan saya saja yang merasakan tapi banyak orang juga",Negatif
"kemarin bs dibuka aplikasinya, stlh bayar eh malah kagak bs dibuka aplikasinya, disuruh masuk Lagi, giliran sdh masuk eits dah malah not nik salah lah,pasword salah entah itu ditambh cache salah.trus gmna bs gue ngecek gue tadi bayar tf sdh masuk apa blm nya,sms dari kantor bpjsnya punch kagak ada.trus gmna kelnjutannya, membingungkan. Skrng minta solusinya min,kl gk bs masuk ke aplikasi jkn,kita harus ngecek pembayaran dmna,aplikasi mn lagi 😠",Negatif
"Mohon perbaiki aplikasi utk verifikasi by no telp selalu gangguan, melalui email ga bisa, verifikasi waja sudah mengikuti arahan gagal terus. Sangat tidak membantu",Negatif
Verifikasi sulit,Negatif
Eumm layanann medis nya gausah diragukan lagi kalo klian download apk ini👌🏻,Positif
Verifikasi Wajahnya susah,Negatif
JKN pancen josss 10👍👍👍👍👍👍👍👍👍👍,Positif
Top,Positif
Mantaf ok,Positif
Pelayanannya sangat memuaskan,Positif
Fitur lebih banyak dan mudah pengaksesan,Positif
bagussssssss,Positif
Data bocor ke debkol danamon sampe tau nama emailnya & no hp sampai nama perusahaan tempat kerja. Apakah ada orang dalam ya jualan data yg infoin dan tercetak keaktifan untuk debkolnya. Sengaja ganti email baru-baru supaya tau aplikasi mana yg bocorin ternyata dari sini. Ganti email bulan 8-2024 bocor bulan 10-2024. Sungguh ga bs jaga privasi.,Negatif
Klo daftar lewat JKN lebih cepat memdapatkan no antrian,Netral
Verifikasi wajah gagal terus,Negatif
mantap,Positif
Lebih mudah dan hemat waktu,Positif
Agak ribet kalau gk ada data,Negatif
Aplikasi mobile jkn tidak bisa buka di aplikasi ganda kelurga saya ada 5 yang 2 tidak bisa login ke mobile jkn,Netral
jeleekkkkkkkkkkkkkkk bgttttt susah bgt longin,Negatif
"Daftar antrian aja susah banget,sdh di ikuti petunjuknya tp ga bisa.",Negatif
Terimakasih sudah membuat aplikasi. Sungguh membantu.,Positif
Verivikasi waja ggl trs tolong di perbaiki,Netral
Lebih baik lagi...ok,Positif
Sampai Firaun bangkit kayak vermuk tetep silit,Negatif
KEREEN,Positif
Aplikasi ini sangat membantu,Positif
Mantaap,Positif
mantap jiwa,Positif
Mau daftar akun ko SMS verpikasinya gak mau masuk ke nomor hp Tapi tak kasih bintang 5,Negatif
Asli setelah daftar ini itu seribet2nya giliran autodebit malah opsi bank BNI gak ada.. mana rekening bank yg ada cuma BNI katanya harus ke kantor cabang untuk rekening BNI lah klw gitu dari awal juga buat BPJSnya gak usah online langsung aja ke kantornya sekalian.. ujung2nya juga hrus ke kantor cabang cuma buat akun BPJSnya,Negatif
"Saya mengeluh,karna sewaktu verifikasi wajah susah sekali,mohon dvelofer perbaikannya",Negatif
"jelek banget, otp sms ga ke kirim kirim",Negatif
Kecepatan respon aplikasi,Positif
Sumpah aplikasi terabsurd. Disuruh verifikasi data lewat sms tapi kodenya nggak pernah muncul. Padahal udah nyedot pulsa. Verifikasi wajah juga gagal. Harusnya bisa lewat email tapi nggak bisa juga.,Negatif
Pelayanan online by aplikasi sangat membantu dan memudahkan peserta pengguna BPJS,Positif
My Life and My Inspiration.,Positif
Aplikasinya tidak berguna.g bisa dipakai cuma bikin kesel aja..,Negatif
Verifikasi wajah bikin susah Payah banget verivikasi wajah Mau daftar😓,Negatif
"Mau verif aja ga bisa""",Negatif
Ok,Positif
Setelah update terbaru Aplikasinya force close ketika dibuka dan sampai sekarang tidak bisa dibuka.,Netral
Mempermudah penguna,Positif
"Mohon perbaiki lagi aplikasinya, kasihan masyarakat yang tidak bisa daftar online",Negatif
Ok,Positif
Kenapa jadi terkunci semua ini menunya. Mana tidak bisa login. Selalu salah berulang ulang. Padahal semua nik password dan yang lain sudah benar. Bisakah diberi kemudahan untuk kami yang ingin berobat melalui aplikasi ini .. 🙏🙏,Negatif
Memberikan manfaat bagi yg membutuhkan.. Mohon untuk selalu memberikan informasi kepada masyarakat ttg BPJS.. biar tdk salah paham dengan peraturan baru nya,Positif
aplikasi eror gini .... masak vermuk gagal muluk .... rumangsane rx pegel po gulune,Negatif
